id,title,body,labels,milestone
E1-F4-I2,E1-F4-I2: Implement configurable status engine,"### Summary
Implement configurable status engine. Build state machine supporting tenant-specific status sets and transitions. Persist transition rules with validation for forbidden paths. Automated tests ensure invalid transitions throw domain exceptions.

### Scope
- [ ] Build state machine supporting tenant-specific status sets and transitions.
- [ ] Persist transition rules with validation for forbidden paths.
- [ ] Automated tests ensure invalid transitions throw domain exceptions.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F4-I1, E1-F3-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 3
E1-F4-I3,E1-F4-I3: Deliver admin UI for workflow management,"### Summary
Deliver admin UI for workflow management. Filament admin pages allow CRUD of statuses and transition rules. Only Admin role can access workflow management UI. Dusk test covers creating status and seeing it available on ticket.

### Scope
- [ ] Filament admin pages allow CRUD of statuses and transition rules.
- [ ] Only Admin role can access workflow management UI.
- [ ] Dusk test covers creating status and seeing it available on ticket.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F4-I2, E2-F2-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Frontend,Week 4
E1-F5-I1,E1-F5-I1: Add message visibility support,"### Summary
Add message visibility support. Messages table gains visibility enum with default public. Legacy data backfilled and validated for visibility setting. Tests cover visibility toggling and default behavior.

### Scope
- [ ] Messages table gains visibility enum with default public.
- [ ] Legacy data backfilled and validated for visibility setting.
- [ ] Tests cover visibility toggling and default behavior.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F3-I1",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 2
E1-F5-I2,E1-F5-I2: Enforce note visibility permissions,"### Summary
Enforce note visibility permissions. Policies prevent non-staff from reading internal notes across channels. Agents can create/edit internal notes with audit entries recorded. Tests assert unauthorized access returns 403.

### Scope
- [ ] Policies prevent non-staff from reading internal notes across channels.
- [ ] Agents can create/edit internal notes with audit entries recorded.
- [ ] Tests assert unauthorized access returns 403.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F5-I1, E2-F3-I3",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 3
E1-F5-I3,E1-F5-I3: Update portals for note visibility UX,"### Summary
Update portals for note visibility UX. Agent portal displays toggle for internal/public replies with clear indicators. Customer portal hides internal notes and surfaces public thread continuity. UI automation verifies toggled visibility persists.

### Scope
- [ ] Agent portal displays toggle for internal/public replies with clear indicators.
- [ ] Customer portal hides internal notes and surfaces public thread continuity.
- [ ] UI automation verifies toggled visibility persists.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F5-I2, E2-F2-I3",epic:TicketIntakeLifecycle;type:Implementation;priority:P1;area:Frontend,Week 4
E1-F6-I1,E1-F6-I1: Design merge/split/link data strategy,"### Summary
Design merge/split/link data strategy. Document relational model for parent/child tickets and duplicate links. Outline conflict resolution for fields (assignee, status, custom fields). Capture audit requirements for compliance review.

### Scope
- [ ] Document relational model for parent/child tickets and duplicate links.
- [ ] Outline conflict resolution for fields (assignee, status, custom fields).
- [ ] Capture audit requirements for compliance review.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F3-I1",epic:TicketIntakeLifecycle;type:Analysis;priority:P1;area:Architecture,Week 2
E1-F6-I2,E1-F6-I2: Implement merge & split services with auditing,"### Summary
Implement merge & split services with auditing. Service merges tickets preserving message history and logs actions. Split operation clones relevant messages with new ticket IDs. Tests validate merges, splits, and duplicate link creation.

### Scope
- [ ] Service merges tickets preserving message history and logs actions.
- [ ] Split operation clones relevant messages with new ticket IDs.
- [ ] Tests validate merges, splits, and duplicate link creation.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F6-I1, E2-F6-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 4
E1-F6-I3,E1-F6-I3: Provide merge/link management endpoints,"### Summary
Provide merge/link management endpoints. API & UI allow agents to merge, split, and link/mark duplicates. Display merged ticket references within conversation timeline. E2E test validates agent flow from selection to confirmation.

### Scope
- [ ] API & UI allow agents to merge, split, and link/mark duplicates.
- [ ] Display merged ticket references within conversation timeline.
- [ ] E2E test validates agent flow from selection to confirmation.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F6-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P1;area:Frontend,Week 4
E1-F7-I1,E1-F7-I1: Build bulk ticket selection endpoints,"### Summary
Build bulk ticket selection endpoints. Endpoint accepts list or filter query to collect ticket IDs within tenant scope. Server-side validation rejects cross-tenant or unauthorized selections. Feature tests cover large selections and pagination.

### Scope
- [ ] Endpoint accepts list or filter query to collect ticket IDs within tenant scope.
- [ ] Server-side validation rejects cross-tenant or unauthorized selections.
- [ ] Feature tests cover large selections and pagination.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F3-I2, E1-F2-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P1;area:Backend,Week 3
E1-F7-I2,E1-F7-I2: Implement bulk action handlers,"### Summary
Implement bulk action handlers. Handlers execute assign, close, tag, and SLA update actions asynchronously. Jobs emit events for real-time updates and auditing hooks. Tests ensure partial failures report actionable errors.

### Scope
- [ ] Handlers execute assign, close, tag, and SLA update actions asynchronously.
- [ ] Jobs emit events for real-time updates and auditing hooks.
- [ ] Tests ensure partial failures report actionable errors.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F7-I1, E1-F4-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P1;area:Backend,Week 3
E1-F7-I3,E1-F7-I3: Enforce permissions & audit for bulk ops,"### Summary
Enforce permissions & audit for bulk ops. RBAC checks restrict bulk operations to authorized roles. Audit logs record actor, scope, and outcome for each bulk operation. Tests verify unauthorized attempts and audit persistence.

### Scope
- [ ] RBAC checks restrict bulk operations to authorized roles.
- [ ] Audit logs record actor, scope, and outcome for each bulk operation.
- [ ] Tests verify unauthorized attempts and audit persistence.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F7-I2, E2-F3-I3, E2-F6-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P1;area:Backend,Week 4
E1-F8-I1,E1-F8-I1: Plan Echo channel strategy,"### Summary
Plan Echo channel strategy. Document private/public channel naming, auth guards, and tenant scoping. Define event payload schema for ticket lifecycle events. Review plan with DevOps for scaling considerations.

### Scope
- [ ] Document private/public channel naming, auth guards, and tenant scoping.
- [ ] Define event payload schema for ticket lifecycle events.
- [ ] Review plan with DevOps for scaling considerations.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F3-I1",epic:TicketIntakeLifecycle;type:Analysis;priority:P1;area:Architecture,Week 2
E1-F8-I2,E1-F8-I2: Broadcast ticket lifecycle events,"### Summary
Broadcast ticket lifecycle events. Fire Echo events for ticket creation, updates, and replies with tenant scoping. Queue broadcasting jobs using Redis + Horizon configuration. Tests validate event payload and channel authorization.

### Scope
- [ ] Fire Echo events for ticket creation, updates, and replies with tenant scoping.
- [ ] Queue broadcasting jobs using Redis + Horizon configuration.
- [ ] Tests validate event payload and channel authorization.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F8-I1, E1-F3-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 3
E1-F8-I3,E1-F8-I3: Integrate Echo client subscriptions,"### Summary
Integrate Echo client subscriptions. Agent and customer portals subscribe to relevant Echo channels. UI reflects real-time status, assignee, and reply updates without refresh. Cypress test validates broadcast reception and UI refresh.

### Scope
- [ ] Agent and customer portals subscribe to relevant Echo channels.
- [ ] UI reflects real-time status, assignee, and reply updates without refresh.
- [ ] Cypress test validates broadcast reception and UI refresh.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F8-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P1;area:Frontend,Week 4
E2-F1-I1,E2-F1-I1: Model company and individual contacts,"### Summary
Model company and individual contacts. Migrations create companies, individuals, and link to tenant/brand. Seeder provides sample data for dev environments. Tests cover relationship loading and cascading deletes.

### Scope
- [ ] Migrations create companies, individuals, and link to tenant/brand.
- [ ] Seeder provides sample data for dev environments.
- [ ] Tests cover relationship loading and cascading deletes.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None",epic:ContactAccess;type:Implementation;priority:P0;area:Backend,Week 1
E2-F1-I2,E2-F1-I2: Deliver contact CRUD interfaces,"### Summary
Deliver contact CRUD interfaces. Filament admin pages and API endpoints enable create/update/delete of contacts. Validation handles duplicate emails and tenant uniqueness. Dusk/UI tests confirm basic CRUD flows.

### Scope
- [ ] Filament admin pages and API endpoints enable create/update/delete of contacts.
- [ ] Validation handles duplicate emails and tenant uniqueness.
- [ ] Dusk/UI tests confirm basic CRUD flows.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1",epic:ContactAccess;type:Implementation;priority:P1;area:Frontend,Week 2
E2-F1-I3,E2-F1-I3: Link contacts to tickets,"### Summary
Link contacts to tickets. Ticket creation resolves contacts via email or explicit ID association. Support primary + secondary contacts per ticket. Feature tests cover association and retrieval in ticket views.

### Scope
- [ ] Ticket creation resolves contacts via email or explicit ID association.
- [ ] Support primary + secondary contacts per ticket.
- [ ] Feature tests cover association and retrieval in ticket views.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I2, E1-F3-I2",epic:ContactAccess;type:Implementation;priority:P1;area:Backend,Week 3
E2-F2-I1,E2-F2-I1: Document role capability matrix,"### Summary
Document role capability matrix. Capability matrix outlines create/read/update/delete per feature for each role. Stakeholder approval recorded with version-controlled document. Matrix accessible to engineering & support teams.

### Scope
- [ ] Capability matrix outlines create/read/update/delete per feature for each role.
- [ ] Stakeholder approval recorded with version-controlled document.
- [ ] Matrix accessible to engineering & support teams.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None",epic:ContactAccess;type:Analysis;priority:P0;area:Product,Week 1
E2-F2-I2,E2-F2-I2: Seed default roles and capabilities,"### Summary
Seed default roles and capabilities. Seeder registers Admin, Agent, Viewer roles with baseline permissions. Seeder idempotent and safe for repeated deployments. PHPUnit tests confirm roles and permissions exist post-seed.

### Scope
- [ ] Seeder registers Admin, Agent, Viewer roles with baseline permissions.
- [ ] Seeder idempotent and safe for repeated deployments.
- [ ] PHPUnit tests confirm roles and permissions exist post-seed.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F2-I1, E2-F3-I2",epic:ContactAccess;type:Implementation;priority:P0;area:Backend,Week 2
E2-F2-I3,E2-F2-I3: Enforce role-based portal access,"### Summary
Enforce role-based portal access. Middleware routes agents to agent workspace, viewers to limited view, admins to admin portal. Unauthorized route access redirected with clear messaging. Feature tests cover each role’s allowed and denied routes.

### Scope
- [ ] Middleware routes agents to agent workspace, viewers to limited view, admins to admin portal.
- [ ] Unauthorized route access redirected with clear messaging.
- [ ] Feature tests cover each role’s allowed and denied routes.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F2-I2, E2-F3-I3",epic:ContactAccess;type:Implementation;priority:P0;area:Backend,Week 3
E2-F3-I1,E2-F3-I1: Install and configure Spatie permissions,"### Summary
Install and configure Spatie permissions. Package installed with config published and cache settings tuned for multi-tenant use. Migrations run to create roles/permissions tables. Smoke test ensures guards resolve for web and API contexts.

### Scope
- [ ] Package installed with config published and cache settings tuned for multi-tenant use.
- [ ] Migrations run to create roles/permissions tables.
- [ ] Smoke test ensures guards resolve for web and API contexts.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None",epic:ContactAccess;type:Implementation;priority:P0;area:Backend,Week 1
E2-F3-I2,E2-F3-I2: Define permission taxonomy,"### Summary
Define permission taxonomy. Permissions enumerated for ticketing, contacts, automation, reporting, admin modules. Exported configuration consumed by seeders and policies. Tests assert permissions registered and retrievable.

### Scope
- [ ] Permissions enumerated for ticketing, contacts, automation, reporting, admin modules.
- [ ] Exported configuration consumed by seeders and policies.
- [ ] Tests assert permissions registered and retrievable.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F3-I1",epic:ContactAccess;type:Implementation;priority:P0;area:Backend,Week 2
E2-F3-I3,E2-F3-I3: Integrate policies and middleware checks,"### Summary
Integrate policies and middleware checks. Policies applied to ticket, contact, workflow, and knowledge base controllers. Middleware enforces permission gates on routes. Feature tests confirm unauthorized requests return correct status codes.

### Scope
- [ ] Policies applied to ticket, contact, workflow, and knowledge base controllers.
- [ ] Middleware enforces permission gates on routes.
- [ ] Feature tests confirm unauthorized requests return correct status codes.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F3-I2",epic:ContactAccess;type:Implementation;priority:P0;area:Backend,Week 3
E2-F4-I1,E2-F4-I1: Design team data model,"### Summary
Design team data model. Document team entity relationships with users, tenants, and tickets. Define assignment rules (round-robin, manual) and configuration options. Secure stakeholder approval on documented design.

### Scope
- [ ] Document team entity relationships with users, tenants, and tickets.
- [ ] Define assignment rules (round-robin, manual) and configuration options.
- [ ] Secure stakeholder approval on documented design.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1",epic:ContactAccess;type:Analysis;priority:P1;area:Architecture,Week 2
E2-F4-I2,E2-F4-I2: Implement team assignment workflows,"### Summary
Implement team assignment workflows. Migrations/models for teams and memberships with tenant scoping. Service assigns tickets to teams based on configuration and escalations. Tests validate manual assignment and default routing.

### Scope
- [ ] Migrations/models for teams and memberships with tenant scoping.
- [ ] Service assigns tickets to teams based on configuration and escalations.
- [ ] Tests validate manual assignment and default routing.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F4-I1, E2-F3-I3",epic:ContactAccess;type:Implementation;priority:P0;area:Backend,Week 3
